Wavelength,Psd
3921.5686172246933,0.09669601707719266
3935.185167938471,0.10041425738018006
3948.8017186522484,0.10395648633129895
3962.418269366026,0.10735732805915177
3976.0348200798035,0.11056075931992382
3989.651370793581,0.11352047650143504
4003.2679215073586,0.11626125744078308
4016.884472221136,0.11892940197139978
4030.5010229349136,0.12167738110292703
4044.117573648691,0.12461603805422783
4057.7341243624687,0.12778045097365975
4071.3506750762463,0.13113458303269
4084.967225790024,0.13460590422619134
4098.583776503801,0.138124281889759
4112.200327217579,0.14164196117781103
4125.816877931356,0.1451280628098175
4139.433428645134,0.1485484972363338
4153.0499793589115,0.15184057503938675
4166.666530072689,0.15494589461013675
4180.283080786467,0.15782782481983304
4193.899631500244,0.16049107164144516
4207.516182214022,0.16298286663368344
4221.132732927799,0.1653654008405283
4234.749283641577,0.16767574392724782
4248.365834355354,0.16989585070405155
4261.982385069132,0.17195585346780717
4275.598935782909,0.17377188068348914
4289.215486496687,0.1752955341944471
4302.8320372104645,0.17656900954898447
4316.448587924242,0.1777475414564833
4330.06513863802,0.17899175407364964
4343.681689351797,0.18041961768176407
4357.298240065575,0.18206184240989387
4370.914790779352,0.1838654592866078
4384.53134149313,0.18574644823092967
4398.147892206907,0.18766205431893468
4411.764442920685,0.18966149596963078
4425.380993634462,0.1918816597899422
4438.99754434824,0.19449999614153057
4452.614095062017,0.19759095285553485
4466.230645775795,0.20102797087747604
4479.8471964895725,0.20454223139677197
4493.46374720335,0.2077817606041208
4507.080297917128,0.21043462434317917
4520.696848630905,0.21233978786040097
4534.313399344683,0.21353435970377177
4547.92995005846,0.21421645034570247
4561.546500772238,0.2146427674451843
4575.163051486015,0.21500920853577554
4588.779602199793,0.21536442881915718
4602.39615291357,0.21560963743831962
4616.012703627348,0.2156005846336484
4629.6292543411255,0.2152327075600624
4643.245805054903,0.21452488587237895
4656.862355768681,0.2136185000417754
4670.478906482458,0.2127196197398007
4684.095457196236,0.2120104298228398
4697.712007910013,0.21157587599009275
4711.328558623791,0.2113788042915985
4724.945109337568,0.21129010734148324
4738.561660051346,0.2111416761763394
4752.178210765123,0.21082827204372734
4765.794761478901,0.21032653434667736
4779.411312192678,0.20966971083544195
4793.027862906456,0.2089112449903041
4806.6444136202335,0.20808798412326723
4820.260964334011,0.20720581978093833
4833.877515047789,0.20625427924096584
4847.494065761566,0.20523390371818095
4861.110616475344,0.2041768440976739
4874.727167189121,0.2031457289122045
4888.343717902899,0.2022176041500643
4901.960268616676,0.20140984188765287
4915.576819330454,0.2006837761728093
4929.193370044231,0.19995697820559144
4942.809920758009,0.19913332385476679
4956.4264714717865,0.19814758584834635
4970.043022185564,0.1969958592671901
4983.659572899342,0.1957368680741638
4997.276123613119,0.19446534581948072
5010.892674326897,0.1932693860726431
5024.509225040674,0.1921944529749453
5038.125775754452,0.19121952971909195
5051.742326468229,0.19026944611687213
5065.358877182007,0.18927419371902943
5078.975427895784,0.18818221893161535
5092.591978609562,0.1869861246086657
5106.2085293233395,0.18571756000164896
5119.825080037117,0.18442813877481967
5133.441630750895,0.18316549353767186
5147.058181464672,0.18195681925863028
5160.67473217845,0.18080598686356097
5174.291282892227,0.17970267590135336
5187.907833606005,0.17864240449853241
5201.524384319782,0.17764259059913456
5215.14093503356,0.1767253081779927
5228.757485747337,0.17591946432366967
5242.374036461115,0.1752447197213769
5255.990587174892,0.1746940022567287
5269.60713788867,0.17422419809736311
5283.2236886024475,0.17375914996955544
5296.840239316225,0.17320356820710003
5310.456790030003,0.17246602452360094
5324.07334074378,0.17147376539651304
5337.689891457558,0.17021862627007067
5351.306442171335,0.16875578393228352
5364.922992885113,0.16716831200756133
5378.53954359889,0.1655508002731949
5392.156094312668,0.16397596569731832
5405.772645026445,0.16247203573584557
5419.389195740223,0.1610184571472928
5433.0057464540005,0.1595613962272182
5446.622297167778,0.15804258978459984
5460.238847881556,0.15642927365843207
5473.855398595333,0.1547318627126515
5487.471949309111,0.15300333802588284
5501.088500022888,0.1513109200168401
5514.705050736666,0.14970366179477423
5528.321601450443,0.14818462159018964
5541.938152164221,0.14671488641761243
5555.554702877998,0.14523294928949326
5569.171253591776,0.14368452597409487
5582.787804305553,0.1420474633341655
5596.404355019331,0.1403408907353878
5610.0209057331085,0.13861454604193568
5623.637456446886,0.13692776393145323
5637.254007160664,0.1353141957661137
5650.870557874441,0.13377681886777282
5664.487108588219,0.13228736794553697
5678.103659301996,0.13081173121463507
5691.720210015774,0.1293291257461533
5705.336760729551,0.12784213852137327
5718.953311443329,0.1263736734399572
5732.569862157106,0.1249529083725065
5746.186412870884,0.12359983241185546
5759.8029635846615,0.12231649912428111
5773.419514298439,0.121094367117621
5787.036065012217,0.1199080403894186
5800.652615725994,0.11874141450971365
5814.269166439772,0.11759683059062809
5827.885717153549,0.11648231372237206
5841.502267867327,0.1154067589668557
5855.118818581104,0.1143737199017778
5868.735369294882,0.11338043352589011
5882.351920008659,0.11242206150200218
5895.968470722437,0.11149729939643294
5909.585021436214,0.11061020439956337
5923.201572149992,0.10977169522084296
5936.8181228637695,0.1089728019433096
5950.434673577547,0.10819825693033636
5964.051224291325,0.10742581461090595
5977.667775005102,0.10663159820251167
5991.28432571888,0.10580467956606299
6004.900876432657,0.10495475761126727
6018.517427146435,0.10410846944432706
6032.133977860212,0.1032964043552056
6045.75052857399,0.10253535339143127
6059.367079287767,0.10181591368746012
6072.983630001545,0.10110003594309092
6086.6001807153225,0.10033750790171325
6100.2167314291,0.09949875855818391
6113.833282142878,0.09858531842473894
6127.449832856655,0.0976307566743344
6141.066383570433,0.09668640652671456
6154.68293428421,0.09579724376089871
6168.299484997988,0.09498164802789688
6181.916035711765,0.0942231616936624
6195.532586425543,0.09347920760046691
6209.14913713932,0.09270163509063423
6222.765687853098,0.09185650013387203
6236.3822385668755,0.09094884106889367
6249.998789280653,0.09000792738515884
6263.6153399944305,0.08906981046311557
6277.231890708208,0.08815936173778027
6290.848441421986,0.08728047856129706
6304.464992135763,0.08641804661601782
6318.081542849541,0.08554979122709483
6331.698093563318,0.08465995371807367
6345.314644277096,0.08374733792152256
6358.931194990873,0.0828241411363706
6372.547745704651,0.08190661028493196
6386.164296418428,0.08100276009645313
6399.780847132206,0.08010768808890134
6413.3973978459835,0.07920883432962
6427.013948559761,0.07829606451559812
6440.630499273539,0.07736978272441775
6454.247049987316,0.07644312817137688
6467.863600701094,0.07553539681248367
6481.480151414871,0.0746615988900885
6495.096702128649,0.07382318412419409
6508.713252842426,0.07300503249280155
6522.329803556204,0.07218031911179423
6535.946354269981,0.07132909190841019
6549.562904983759,0.07044439332094043
6563.1794556975365,0.06953620200511068
6576.796006411314,0.06862586771603674
6590.412557125092,0.06773594010155648
6604.029107838869,0.06688079726882279
6617.645658552647,0.06606257834937423
6631.262209266424,0.0652736509218812
6644.878759980202,0.06450293376110494
6658.495310693979,0.06374233856331557
6672.111861407757,0.06299011129885912
6685.728412121534,0.06224745826330036
6699.344962835312,0.06151504651643336
6712.961513549089,0.06079045217484236
6726.578064262867,0.0600692976731807
6740.1946149766445,0.059349074377678335
6753.811165690422,0.058632463682442904
6767.4277164042,0.05792814143933356
6781.044267117977,0.057246944634243846
6794.660817831755,0.05659609392751008
6808.277368545532,0.05597501643933356
6821.89391925931,0.05537163175176829
6835.510469973087,0.054769799462519586
